Name,Year of release,Runtime,Cast_Crew,ImageURL,Rating,Genre,Reviews
Guns Akimbo,2019,95 min,"['Jason Lei Howden', 'Samara Weaving', 'Daniel Radcliffe', 'Natasha Liu Bordizzo', 'Rhys Darby']","https://m.media-amazon.com/images/M/MV5BNzU3ZTI1OTktNjVkNy00OWEzLWIyNzAtMWQ5YjRkZDU1ZjAxXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0,0,182,268_AL_.jpg",6.5,"['Action', ' Comedy            ']","[' Great ideas wasted by undercooked story', ' Might become a Cult Classic', ' Over the top, ridiculous, and entertaining']"
The Gentlemen,2019,113 min,"['Guy Ritchie', 'Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery', 'Jeremy Strong']","https://m.media-amazon.com/images/M/MV5BMTlkMmVmYjktYTc2NC00ZGZjLWEyOWUtMjc2MDMwMjQwOTA5XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_UX182_CR0,0,182,268_AL_.jpg",8.1,"['Action', ' Comedy', ' Crime            ']","["" Guy's Best Since Snatch."", "" I don't understand the critics, this is brilliant."", ' Ritchie returns to the crime genre and does so masterfully']"
Jumanji: The Next Level,2019,123 min,"['Jake Kasdan', 'Dwayne Johnson', 'Jack Black', 'Kevin Hart', 'Karen Gillan']","https://m.media-amazon.com/images/M/MV5BOTVjMmFiMDUtOWQ4My00YzhmLWE3MzEtODM1NDFjMWEwZTRkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8,"['Action', ' Adventure', ' Comedy            ']","[' Thoroughly Entertaining sequel!', ' Still amazing, more silly jokes and chaos on the screen!', ' Great sequel and laugh fest, the new Jumanji knows what its doing']"
Ford v Ferrari,2019,152 min,"['Carroll Shelby', 'Ken Miles', 'James Mangold', 'Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitriona Balfe']","https://m.media-amazon.com/images/M/MV5BM2UwMDVmMDItM2I2Yi00NGZmLTk4ZTUtY2JjNTQ3OGQ5ZjM2XkEyXkFqcGdeQXVyMTA1OTYzOTUx._V1_UX182_CR0,0,182,268_AL_.jpg",8.1,"['Action', ' Biography', ' Drama            ']","[' Puts my faith in the movie business again', ' As close as possible to the truth but!', ' Oscar Winning Performance']"
Midway,2019,138 min,"['Roland Emmerich', 'Ed Skrein', 'Patrick Wilson', 'Woody Harrelson', 'Luke Evans']","https://m.media-amazon.com/images/M/MV5BYzA5Y2Q2YjktZDYwMi00NTdmLThlMjctMmY5NDgwOWRhZDUxXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UX182_CR0,0,182,268_AL_.jpg",6.7,"['Action', ' Drama', ' History            ']","[' 10 Stars from 26-year Navy veteran', ' Account of Crucial Naval Battle in Emmerich Style', ' Hollywood actually made a decent war movie without pushing a political agenda']"
Anna,2019,119 min,"['Luc Besson', 'Sasha Luss', 'Helen Mirren', 'Luke Evans', 'Cillian Murphy']","https://m.media-amazon.com/images/M/MV5BOWUyYTU4NTQtYWQ2Mi00NzE0LTk0OTMtN2MzNjRkZjFkZTU2XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_UY268_CR3,0,182,268_AL_.jpg",6.6,"['Action', ' Thriller            ']","[' Anna - Movie Review', ' Kept me watching...', ' candies for the eyes']"
Spies in Disguise,2019,102 min,"['Nick Bruno', 'Troy Quane', 'Rachel Brosnahan', 'Jarrett Bruno', 'Claire Crosby', 'Toru Uchikado']","https://m.media-amazon.com/images/M/MV5BNzg1MzM3OWUtNjgzZC00NjMzLWE1NzAtOThiMDgyMjhhZDBhXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8,"['Animation', ' Action', ' Adventure            ']","[' Surprised', ' Just watched it with kids and we loved it', ' Intriguing Concept But,']"
Charlie's Angels,2019,118 min,"['Elizabeth Banks', 'Kristen Stewart', 'Naomi Scott', 'Ella Balinska', 'Elizabeth Banks']","https://m.media-amazon.com/images/M/MV5BN2VkMjQwZWMtMzc1NC00ZjJiLWJlNTMtNmRjOTE2ZTJmYzUwXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UY268_CR7,0,182,268_AL_.jpg",4.4,"['Action', ' Adventure', ' Comedy            ']","[' Men dont like female heroes. Hmmm', ' ""Men don\'t wanna watch female hero\'s on the screen""', ' Female perspective']"
Terminator: Dark Fate,2019,128 min,"['Tim Miller', 'Linda Hamilton', 'Arnold Schwarzenegger', 'Mackenzie Davis', 'Natalia Reyes']","https://m.media-amazon.com/images/M/MV5BOWExYzVlZDgtY2E1ZS00NTFjLWFmZWItZjI2NWY5ZWJiNTE4XkEyXkFqcGdeQXVyMTA3MTA4Mzgw._V1_UX182_CR0,0,182,268_AL_.jpg",6.3,"['Action', ' Adventure', ' Sci-Fi            ']","[' Franchise: Terminated', ' Why the Terminator series is done', ' We did this']"
Avengers: Endgame,2019,181 min,"['Anthony Russo', 'Joe Russo', 'Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']","https://m.media-amazon.com/images/M/MV5BMTc5MDE2ODcwNV5BMl5BanBnXkFtZTgwMzI2NzQ2NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",8.5,"['Action', ' Adventure', ' Drama            ']","["" An experience you'll gonna remember forever."", ' Amazing, but the more I dwell on it the worse it becomes', ' The End of an Era!']"
Star Wars: Episode IX - The Rise of Skywalker,2019,142 min,"['J.J. Abrams', 'Carrie Fisher', 'Mark Hamill', 'Adam Driver', 'Daisy Ridley']","https://m.media-amazon.com/images/M/MV5BMDljNTQ5ODItZmQwMy00M2ExLTljOTQtZTVjNGE2NTg0NGIxXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8,"['Action', ' Adventure', ' Fantasy            ']","[' And Now We Know Why Torrents Were Invented', ' Hi JJ Abrams And Kathleen Kennedy', ' The RISE (???) of Skywalker']"
6 Underground,2019,128 min,"['Michael Bay', 'Ryan Reynolds', 'Mélanie Laurent', 'Manuel Garcia-Rulfo', 'Ben Hardy']","https://m.media-amazon.com/images/M/MV5BNzE2ZjQxNjEtNmI2ZS00ZmU0LTg4M2YtYzVhYmRiYWU0YzI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.1,"['Action', ' Comedy', ' Thriller            ']","[' The most Micheal Bay movie Micheal Bay ever Micheal Bayed', "" It's a Friday night movie"", "" This isn't Scorsese or Mann.... It's Bay! Just have fun.""]"
Alita: Battle Angel,2019,122 min,"['Robert Rodriguez', 'Rosa Salazar', 'Christoph Waltz', 'Jennifer Connelly', 'Mahershala Ali']","https://m.media-amazon.com/images/M/MV5BNzVhMjcxYjYtOTVhOS00MzQ1LWFiNTAtZmY2ZmJjNjIxMjllXkEyXkFqcGdeQXVyNTc5OTMwOTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",7.3,"['Action', ' Adventure', ' Sci-Fi            ']","[' Astonishing', ' Entertaining from start to finish', ' Alita is beautiful, stunning and an incrediable film']"
Godzilla: King of the Monsters,2019,132 min,"['Michael Dougherty', 'Kyle Chandler', 'Vera Farmiga', 'Millie Bobby Brown', 'Ken Watanabe']","https://m.media-amazon.com/images/M/MV5BOGFjYWNkMTMtMTg1ZC00Y2I4LTg0ZTYtN2ZlMzI4MGQwNzg4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.1,"['Action', ' Adventure', ' Fantasy            ']","[' All hail the King... of bad writing', ' Monsters great, people and drama boring', ' Writers ruin what could have been a fantastic movie']"
21 Bridges,2019,99 min,"['Brian Kirk', 'Chadwick Boseman', 'Sienna Miller', 'J.K. Simmons', 'Stephan James']","https://m.media-amazon.com/images/M/MV5BYTg4YzEzNDQtZDAxOS00M2YyLTljZWEtNjk4YTc4NDM2NTBhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6,"['Action', ' Crime', ' Drama            ']","[' Not bad I guess!', ' Solid old school cop thriller', ' Tight action movie.']"
Pokémon: Mewtwo Strikes Back - Evolution,2019,98 min,"['Motonori Sakakibara', 'Tetsuo Yajima', 'Kunihiko Yuyama', 'Rikako Aikawa', 'Yôsuke Akimoto', 'James Carter Cathcart', 'Megumi Hayashibara']","https://m.media-amazon.com/images/M/MV5BZTg4MDZkYWUtNDQwYS00NjI3LTgzMjctMGZmNmE1NTJiOGM3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY268_CR4,0,182,268_AL_.jpg",5.8,"['Animation', ' Action', ' Family            ']","[' Reliving my childhood!', ' Original will always be the better one', ' Pokémon Mewtwo Strikes Back Evolution ironically clones the original to create an inferior remake.']"
My Hero Academia: Heroes Rising,2019,104 min,"['Kenji Nagasaki', 'Felecia Angelle', 'Christopher Bevins', 'Brendan Blaber', 'Johnny Yong Bosch']","https://m.media-amazon.com/images/M/MV5BOTYyYjAxNDgtNjEwYi00ZjY0LTk2ZDAtOTBiZTVjMmZkYjk3XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY268_CR0,0,182,268_AL_.jpg",8,"['Animation', ' Action', ' Adventure            ']","[' Far Ahead Of Plus Ultra!!!', ' When filler murders the canon', ' Roger Moore is a bad critic lol.']"
John Wick: Chapter 3 - Parabellum,2019,131 min,"['Chad Stahelski', 'Keanu Reeves', 'Halle Berry', 'Ian McShane', 'Laurence Fishburne']","https://m.media-amazon.com/images/M/MV5BMDg2YzI0ODctYjliMy00NTU0LTkxODYtYTNkNjQwMzVmOTcxXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX182_CR0,0,182,268_AL_.jpg",7.5,"['Action', ' Crime', ' Thriller            ']","[' the fighting scenes get dull after a while', ' Too much action, lacking storyline', ' Brainless']"
Zombieland: Double Tap,2019,99 min,"['Ruben Fleischer', 'Woody Harrelson', 'Jesse Eisenberg', 'Emma Stone', 'Abigail Breslin']","https://m.media-amazon.com/images/M/MV5BYjcwNjZhNGYtOGNlNy00NGI3LTlmODMtMGZlMjA3YjA0Njg0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.8,"['Action', ' Comedy', ' Horror            ']","[' Flawed and repeat', ' Zoey Deutch Steals The Movie', ' ""Do you know why she\'s still alive?... Because zombies eat brains and she ain\'t got any""....']"
Spider-Man: Far from Home,2019,129 min,"['Jon Watts', 'Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal', 'Marisa Tomei']","https://m.media-amazon.com/images/M/MV5BMGZlNTY1ZWUtYTMzNC00ZjUyLWE0MjQtMTMxN2E3ODYxMWVmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",7.5,"['Action', ' Adventure', ' Sci-Fi            ']","[' Spider-Man: Far From Home', ' More more more', ' You Know How You Can Tell An American? S/he Can Only Speak One Language.']"
Gemini Man,2019,117 min,"['Ang Lee', 'Will Smith', 'Mary Elizabeth Winstead', 'Clive Owen', 'Benedict Wong']","https://m.media-amazon.com/images/M/MV5BZDJlYzMyZTctYzBiMi00Y2E5LTk4YzgtNzU5YzE0MDZkY2EwXkEyXkFqcGdeQXVyMTA3MTA4Mzgw._V1_UX182_CR0,0,182,268_AL_.jpg",5.7,"['Action', ' Drama', ' Sci-Fi            ']","[' David Benioff strikes again', ' David Benioff & his pen present: Another disappointment', ' Great lead, great director, brought down by the poor writing of Beinoff']"
Fast & Furious Presents: Hobbs & Shaw,2019,137 min,"['David Leitch', 'Dwayne Johnson', 'Jason Statham', 'Idris Elba', 'Vanessa Kirby']","https://m.media-amazon.com/images/M/MV5BOTIzYmUyMmEtMWQzNC00YzExLTk3MzYtZTUzYjMyMmRiYzIwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY268_CR1,0,182,268_AL_.jpg",6.5,"['Action', ' Adventure            ']","[' Not a masterpiece, but entertaining AF!', ' Adrenaline-fueled ride absurd in terms of its believability but fun', ' What happens when an unstoppable force meets an immovable object?']"
Ip Man 4: The Finale,2019,107 min,"['Wilson Yip', 'Donnie Yen', 'Scott Adkins', 'Danny Chan Kwok-Kwan', 'Vanness Wu']","https://m.media-amazon.com/images/M/MV5BNzYyZWIwZjQtZGVjZi00NWIxLTk0ODMtNzA3YzE5MWM3OWI0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX182_CR0,0,182,268_AL_.jpg",7.3,"['Action', ' Biography', ' Drama            ']","[' A must watch', ' Good fighting scenes, Finale good.', ' An epic ending of the Yip Man saga! Donnie Yen done it again! A must watch action film!']"
Proxima,2019,107 min,"['Alice Winocour', 'Eva Green', 'Zélie Boulant', 'Matt Dillon', 'Aleksey Fateev']","https://m.media-amazon.com/images/M/MV5BOWUwYjEwNGMtYjc5Ni00NWZmLWJmZTctMzUwMmNjMWQ2OTBlXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UY268_CR7,0,182,268_AL_.jpg",6.7,"['Action', ' Drama            ']","[' An emotive family drama that will disappoint those hoping for sci-fi bombast', "" Beautiful movie, but don't expect flashy sci-fi"", "" If you are expecting a sci-fi movie, you'll be disappointed...""]"
Pokémon Detective Pikachu,2019,104 min,"['Rob Letterman', 'Ryan Reynolds', 'Justice Smith', 'Kathryn Newton', 'Bill Nighy']","https://m.media-amazon.com/images/M/MV5BNDU4Mzc3NzE5NV5BMl5BanBnXkFtZTgwMzE1NzI1NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6,"['Action', ' Adventure', ' Comedy            ']","[' I liked it but I wanted to love it', ' Fun movie, awkward story', ' Really fun, great movie!']"
Captain Marvel,2019,123 min,"['Anna Boden', 'Ryan Fleck', 'Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Jude Law']","https://m.media-amazon.com/images/M/MV5BMTE0YWFmOTMtYTU2ZS00ZTIxLWE3OTEtYTNiYzBkZjViZThiXkEyXkFqcGdeQXVyODMzMzQ4OTI@._V1_UX182_CR0,0,182,268_AL_.jpg",6.9,"['Action', ' Adventure', ' Sci-Fi            ']","[' Just a girl who won the ""over power"" lottery without any character depth.', ' Practically nothing good about it besides the Kree commando team', "" You don't need to watch this before Endgame""]"
Men in Black: International,2019,114 min,"['F. Gary Gray', 'Chris Hemsworth', 'Tessa Thompson', 'Kumail Nanjiani', 'Rebecca Ferguson']","https://m.media-amazon.com/images/M/MV5BMDZkODI2ZGItYTY5Yi00MTA4LWExY2ItM2ZmNjczYjM0NDg1XkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UX182_CR0,0,182,268_AL_.jpg",5.6,"['Action', ' Adventure', ' Comedy            ']","[' A new hire, ""MARY SUE"" who instantly knows everything and solves all the clues.', ' Perhaps The Worst MIB Movie Ever', ' Forgot what made it successful']"
Shazam!,2019,132 min,"['David F. Sandberg', 'Zachary Levi', 'Mark Strong', 'Asher Angel', 'Jack Dylan Grazer']","https://m.media-amazon.com/images/M/MV5BYTE0Yjc1NzUtMjFjMC00Y2I3LTg3NGYtNGRlMGJhYThjMTJmXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_UX182_CR0,0,182,268_AL_.jpg",7.1,"['Action', ' Adventure', ' Comedy            ']","["" A little known fact about the reviewers saying this movie is 'Just okay'"", ' Probably an unpopular opinion', ' Decent, but wholly unimpressive']"
Harriet,2019,125 min,"['Harriet Tubman', 'Kasi Lemmons', 'Cynthia Erivo', 'Leslie Odom Jr.', 'Joe Alwyn', 'Clarke Peters']","https://m.media-amazon.com/images/M/MV5BNmE1Y2JjMDEtZDAyOC00NjFiLWJlNjAtMjA3MDMzZGUxMDViXkEyXkFqcGdeQXVyMTA2MDQ3MTQ3._V1_UX182_CR0,0,182,268_AL_.jpg",6.4,"['Action', ' Biography', ' Drama            ']","[' Oh my God. Why?', ' A dishonor to an amazing woman', ' Straight up TRASH!']"
Rambo: Last Blood,2019,89 min,"['Adrian Grunberg', 'Sylvester Stallone', 'Paz Vega', 'Sergio Peris-Mencheta', 'Adriana Barraza']","https://m.media-amazon.com/images/M/MV5BNTAxZWM2OTgtOTQzOC00ZTI5LTgyYjktZTRhYWM4YWQxNWI0XkEyXkFqcGdeQXVyMjMwNDgzNjc@._V1_UX182_CR0,0,182,268_AL_.jpg",6.2,"['Action', ' Adventure', ' Thriller            ']","["" If you're a John Rambo fan you'll love it"", ' Stallone Has Truly Done It Again', "" Don't listen to the critics, this movie is gold.""]"
Angel Has Fallen,2019,121 min,"['Ric Roman Waugh', 'Gerard Butler', 'Frederick Schmidt', 'Danny Huston', 'Rocci Williams']","https://m.media-amazon.com/images/M/MV5BYmRmMWZhZGItYzA4MC00ZDYyLWE0OTMtYmM0MWRiN2Q4NGU2XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX182_CR0,0,182,268_AL_.jpg",6.4,"['Action', ' Thriller            ']","[' A decent action film.', ' Again ignore the moan brigade', ' Good popcorn action flick']"
Code 8,2019,98 min,"['Jeff Chan', 'Laysla De Oliveira', 'Stephen Amell', 'Robbie Amell', 'Sung Kang']","https://m.media-amazon.com/images/M/MV5BNmQ2NWMyZDgtNWQ5My00ZmQwLWE0MTQtN2ZiNjY2ODc0Y2YxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.1,"['Action', ' Crime', ' Drama            ']","[' Excellent for low budget.', ' Good, down to earth superpowers film', ' A mutant movie done right']"
El Camino: A Breaking Bad Movie,2019,122 min,"['Vince Gilligan', 'Aaron Paul', 'Jonathan Banks', 'Matt Jones', 'Charles Baker']","https://m.media-amazon.com/images/M/MV5BNjk4MzVlM2UtZGM0ZC00M2M1LThkMWEtZjUyN2U2ZTc0NmM5XkEyXkFqcGdeQXVyOTAzMTc2MjA@._V1_UY268_CR16,0,182,268_AL_.jpg",7.4,"['Action', ' Crime', ' Drama            ']","[' A farewell to Jesse Pinkman', ' People are expecting too much', ' Two more episodes to BB']"
The Aeronauts,2019,100 min,"['Tom Harper', 'Felicity Jones', 'Eddie Redmayne', 'Himesh Patel', 'Vincent Perez']","https://m.media-amazon.com/images/M/MV5BMmJkM2M0OTUtNGI3NC00ZTNiLWI4MDUtMGI5MzM1MmQyNTliXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0,0,182,268_AL_.jpg",6.6,"['Action', ' Adventure', ' Biography            ']","[' A Truly Disgraceful Rewriting of History for Political Reasons', ' True Events?', ' Historical revisionism and lies']"
X-Men: Dark Phoenix,2019,113 min,"['Simon Kinberg', 'James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Nicholas Hoult']","https://m.media-amazon.com/images/M/MV5BMmZmYTgwZGItNDIxMS00MmRkLWEzODQtYTllNzM0ZWE1NmQ5XkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_UX182_CR0,0,182,268_AL_.jpg",5.8,"['Action', ' Adventure', ' Sci-Fi            ']","[' Who wrote this?', "" Fod God's sake, please stop making movies"", ' The best storyline in the X-men canon, and they crapped all over it.']"
Bacurau,2019,131 min,"['Juliano Dornelles', 'Kleber Mendonça Filho', 'Bárbara Colen', 'Thomas Aquino', 'Silvero Pereira', 'Thardelly Lima']","https://m.media-amazon.com/images/M/MV5BYjc1N2M1YjMtYzBiNi00NGFiLThkN2QtY2EwZGU5MDRkODAzXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_UX182_CR0,0,182,268_AL_.jpg",7.8,"['Action', ' Adventure', ' Mystery            ']","[' Good from beginning to end', ' An instant classic', ' A Superb masterpiece']"
Hellboy,2019,120 min,"['Neil Marshall', 'David Harbour', 'Milla Jovovich', 'Ian McShane', 'Sasha Lane']","https://m.media-amazon.com/images/M/MV5BODdkMDQzMzItZDc4YS00OGM4LTkxNTQtNjUzNzU0ZmJkMWY2XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_UX182_CR0,0,182,268_AL_.jpg",5.2,"['Action', ' Adventure', ' Fantasy            ']","[' Terrible Writing, Weird Directing and Awful CGI', ' Damn my eyes!', ' I could not wait for this movie to be over.']"
Shaft,2019,111 min,"['Tim Story', 'Samuel L. Jackson', 'Jessie T. Usher', 'Richard Roundtree', 'Regina Hall']","https://m.media-amazon.com/images/M/MV5BNmExNGZmYzItZTMzMi00YWJjLWJkYmQtMDg5MjgzYjYyZDk1XkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_UX182_CR0,0,182,268_AL_.jpg",6.4,"['Action', ' Comedy', ' Crime            ']","[' So refreshing', ' Politically-Incorrect Fun', ' Refreshingly unapologetic!']"
Polar,2019,118 min,"['Jonas Åkerlund', 'Mads Mikkelsen', 'Vanessa Hudgens', 'Katheryn Winnick', 'Fei Ren']","https://m.media-amazon.com/images/M/MV5BMzA5MjNjODEtOWYxYi00OTdmLTlhNTAtN2VhMTMxNWJjM2ZmXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_UX182_CR0,0,182,268_AL_.jpg",6.3,"['Action', ' Crime', ' Drama            ']","[' Action & Brutality', ' Has no one seen a comic book film before?', ' I wanted to hate this B-grade film, but ended up loving it!']"
Cold Pursuit,2019,119 min,"['Hans Petter Moland', 'Liam Neeson', 'Laura Dern', 'Micheál Richardson', 'Michael Eklund']","https://m.media-amazon.com/images/M/MV5BM2YyYWI3NjItMWEwZS00MzhkLWJmZTMtZDAzYjRhODM0OTMzXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX182_CR0,0,182,268_AL_.jpg",6.2,"['Action', ' Crime', ' Drama            ']","[' Why boycott?', ' Great Film Once You Understand Its Intention, With a Beautifully Surreal Depiction of Denver', ' Not a typical Neeson thriller']"
VFW,2019,92 min,"['Joe Begos', 'Stephen Lang', 'William Sadler', 'Fred Williamson', 'Martin Kove']","https://m.media-amazon.com/images/M/MV5BMjA5YzRlYzQtNjQ0OS00OGExLTg4OWUtZWZhNDM2YTQyZjZjXkEyXkFqcGdeQXVyODEwMTc2ODQ@._V1_UX182_CR0,0,182,268_AL_.jpg",6.3,"['Action', ' Horror            ']","["" A Man's Recipe - True Grindhouse Fun"", ' Hobo with a Shotgun meets The Expendables', ' Beathes fresh air into the Grindhouse genre. Solid gory thriller with some bad lighting n cinematography.']"
Ejen Ali: The Movie,2019,97 min,"['Muhammad Usamah Zaid', 'Altimet', 'Amir Bamer', 'Fadhli', 'Abu Shafian Abd Hamid']","https://m.media-amazon.com/images/M/MV5BZjU1NGVkYzQtNGRhYS00YWE4LWE2MGItZjhjN2EyZDYzN2M3XkEyXkFqcGdeQXVyODk1NzMxOTE@._V1_UX182_CR0,0,182,268_AL_.jpg",9,"['Animation', ' Action', ' Adventure            ']","[' Wow..Just wow!!', ' Agent of fun, action and drama', ' When an animation studio still remembers why they make animation']"
The Courier,2019,99 min,"['Zackary Adler', 'Olga Kurylenko', 'Gary Oldman', 'Amit Shah', 'Alicia Agneson']","https://m.media-amazon.com/images/M/MV5BZGZjYTY4MzMtOTc1ZC00NWM2LTkxMzEtOTA2MTc5YmZhYzhlXkEyXkFqcGdeQXVyOTg4MDYyNw@@._V1_UX182_CR0,0,182,268_AL_.jpg",5.8,"['Action', ' Crime', ' Drama            ']","[' A sloppy, choppy mess.', ' Wasted Talents', "" Don't Bother..""]"
Triple Frontier,2019,125 min,"['J.C. Chandor', 'Ben Affleck', 'Oscar Isaac', 'Charlie Hunnam', 'Garrett Hedlund']","https://m.media-amazon.com/images/M/MV5BODU4MzM2MDAxMl5BMl5BanBnXkFtZTgwNDEzNjM0NzM@._V1_UX182_CR0,0,182,268_AL_.jpg",6.5,"['Action', ' Adventure', ' Crime            ']","[' Potential wasted by stupid plot mistakes', ' Entertaining but many Holes and Voids', ' Great start, then becomes unrealistic']"
Murder Mystery,2019,97 min,"['Kyle Newacheck', 'Adam Sandler', 'Jennifer Aniston', 'Luke Evans', 'Terence Stamp']","https://m.media-amazon.com/images/M/MV5BNTA2YTI5YjUtZWI4Zi00NWQ5LWFiYmEtOTBmNTUyNDAwNjllXkEyXkFqcGdeQXVyNjIzNzM4NzA@._V1_UX182_CR0,0,182,268_AL_.jpg",6,"['Action', ' Comedy', ' Crime            ']","[' Old fashioned murder mystery on a ship.', ' Good movie', ' Consistently Entertaining']"
Escape Room,2019,99 min,"['Adam Robitel', 'Taylor Russell', 'Logan Miller', 'Jay Ellis', 'Tyler Labine']","https://m.media-amazon.com/images/M/MV5BMjQ2NDMwMTY3MF5BMl5BanBnXkFtZTgwNDg5OTc1NjM@._V1_UX182_CR0,0,182,268_AL_.jpg",6.3,"['Action', ' Adventure', ' Horror            ']","[' A fun little thriller.', ' To my surprise, I enjoyed this movie!', ' Solid Watch .. until the ending']"
The Burnt Orange Heresy,2019,99 min,"['Giuseppe Capotondi', 'Elizabeth Debicki', 'Claes Bang', 'Donald Sutherland', 'Mick Jagger']","https://m.media-amazon.com/images/M/MV5BZWFiN2I4ZTQtZDA2NC00YzE3LWFhMzgtZWY0MGIzNjdiZmY3XkEyXkFqcGdeQXVyOTgxNDIzMTY@._V1_UX182_CR0,0,182,268_AL_.jpg",5.7,"['Action', ' Drama', ' Thriller            ']","[' A CINEMATIC FEAST', ' A classy art heist thriller that spins out of control']"
Black and Blue,2019,108 min,"['Deon Taylor', 'Naomie Harris', 'Tyrese Gibson', 'Frank Grillo', 'Mike Colter']","https://m.media-amazon.com/images/M/MV5BMmZhZmQ1YjYtMmZkZC00ZTIxLTg5YTctMDczZGJmZTllYjBkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",6.2,"['Action', ' Crime', ' Drama            ']","[' To some bad reviewers!', ' Gripping and suspenseful!', ' Decent thriller with sufficient tension n action.']"
Robert the Bruce,2019,124 min,"['Richard Gray', 'Gabriel Bateman', 'Talitha Eliana Bateman', 'Mhairi Calvey', 'Gianni Capaldi']","https://m.media-amazon.com/images/M/MV5BYjUyZmIwZmUtMGFmMS00MTk5LThmNDItYzFkZTdlNjZiMzUzXkEyXkFqcGdeQXVyMzI0OTAwMg@@._V1_UY268_CR1,0,182,268_AL_.jpg",5,"['Action', ' History            ']","[' So disappointing', "" Appreciate the hard work getting it made. Doesn't make it a good movie though"", ' 50 Gold Pieces for more action and less existential crisis.']"
Danger Close,2019,118 min,"['Kriv Stenders', 'Travis Fimmel', 'Daniel Webber', 'Richard Roxburgh', 'Luke Bracey']","https://m.media-amazon.com/images/M/MV5BNDA3ZjczODQtMzIwNS00MGNmLWE4ODAtNWZjZDBhMzVmZDI3XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_UX182_CR0,0,182,268_AL_.jpg",6.9,"['Action', ' Drama', ' War            ']","[' Recommended - moving and technically brilliant', ' Iconic Australian Movie', ' Exceeded my expectations']"
